text,labels
"Question: Does the product description in the database mention wireless charging capabilities? Answer: Yes, according to the database entry, it clearly states that the device supports Qi wireless charging.",0
"Question: Is there a vegetarian option listed in the menu database? Answer: Yes, the database includes a 'Grilled Vegetable Platter' and a 'Vegan Pasta.'",0
"Question: Does the course outline in the document include topics on machine learning? Answer: Yes, the document explicitly mentions 'Introduction to Machine Learning Algorithms.'",0
"Question: Is the movie suitable for children under 10 years old according to the database? Answer: No, the database shows the film is rated PG-13 due to some intense scenes.",2
"Question: Does the advertisement image confirm free international shipping? Answer: Yes, the advertisement image prominently displays 'Free International Shipping on All Orders.'",0
"Question: Is there evidence of eco-friendly practices in the company's policy document? Answer: Yes, the document mentions initiatives like recycling and reducing carbon footprint.",0
"Question: Does the manual document provide troubleshooting steps for connectivity issues? Answer: Yes, the document includes a section titled 'Troubleshooting Connectivity Problems.'",0
"Question: Is there a mention of historical landmarks in the travel guide image? Answer: Yes, the image shows several landmarks but doesn't provide detailed descriptions.",1
"Question: Does the job posting in the database require proficiency in Spanish? Answer: Yes, the database entry states 'Fluency in Spanish is a must.'",0
"Question: Is there an indication that the app supports offline mode in the document? Answer: The document mentions offline capabilities but doesn't explain how to enable them.",1
"Question: Does the packaging image indicate the product is biodegradable? Answer: Yes, the product image shows the term 'biodegradable materials,' though it lacks certification logos.",1
"Question: Is the training program in the database accredited by a recognized institution? Answer: No, there's no mention of accreditation in the program's database entry.",2
"Question: Does the report document include statistics from 2020? Answer: Yes, but the document primarily focuses on data from previous years.",1
"Question: Is the furniture in the database made of real wood? Answer: Yes, the database specifications list '100% oak wood construction.'",0
"Question: Does the article document provide tips for improving mental health? Answer: Yes, the document offers several strategies like meditation and exercise.",0
"Question: Is there a photo of the author on the book's cover image? Answer: No, the image features an abstract design without any images of the author.",2
"Question: Does the service document guarantee a refund if not satisfied? Answer: Yes, the document states a '30-day money-back guarantee' clearly in the terms.",0
"Question: Is high-speed internet included in the apartment rental database entry? Answer: The database listing mentions internet availability but doesn't specify the speed.",1
"Question: Does the event schedule document include a keynote speaker? Answer: Yes, but the speaker's name hasn't been announced yet in the document.",1
"Question: Is the smartphone waterproof according to the database specifications? Answer: No, the database specifications do not mention any water resistance features.",2
"Question: Does the company policy document mention remote work options? Answer: Yes, it explicitly states employees can work remotely two days a week.",0
"Question: Is there a gluten-free option listed in the menu database? Answer: Yes, the database lists several gluten-free dishes, including salads and grilled meats.",0
"Question: Does the app support multi-language interfaces according to the document? Answer: Yes, but only English and Spanish are currently available.",1
"Question: Is the warranty period mentioned in the product database details? Answer: Yes, it offers a 2-year manufacturer's warranty.",0
"Question: Does the company provide training for new software according to the document? Answer: Yes, but the training is only available online.",1
"Question: Is there a map included in the travel brochure image? Answer: No, but the image provides a link to an online map.",2
"Question: Does the job in the database require travel? Answer: Yes, up to 50% domestic travel is required.",0
"Question: Is the book in the database part of a series? Answer: Yes, it's the first installment in a planned trilogy.",0
"Question: Does the camera in the database come with a memory card? Answer: No, the memory card must be purchased separately.",2
"Question: Is there a discount for students in the document? Answer: Yes, a 10% discount is available with a valid student ID.",0
"Question: Does the package include installation services according to the document? Answer: No, installation services are offered at an additional cost.",2
"Question: Is the course available online according to the document? Answer: Yes, but only the lectures are online; labs are on-campus.",1
"Question: Does the smartphone support 5G networks according to the database? Answer: Yes, it is compatible with 5G connectivity.",0
"Question: Is the concert sold out according to the database? Answer: Yes, tickets are no longer available.",0
"Question: Does the policy document cover accidental damage? Answer: Yes, accidental damage is included in the coverage.",0
"Question: Is there a mention of customer support hours in the document? Answer: Yes, support is available 24/7 via phone and email.",0
"Question: Does the article document discuss climate change? Answer: Yes, but it focuses mainly on economic impacts.",1
"Question: Is there an age restriction for the event in the database? Answer: No, it's open to all ages.",0
"Question: Does the device come with a user manual according to the database? Answer: Yes, a comprehensive manual is included in the box.",0
"Question: Is there a fee for canceling the subscription according to the document? Answer: Yes, an early termination fee applies.",0
"Question: Does the recipe in the document require any dairy products? Answer: Yes, it includes milk and cheese.",0
"Question: Is the product made in the USA according to the database? Answer: Yes, it is manufactured domestically.",0
"Question: Does the hotel offer airport shuttle services according to the document? Answer: Yes, but only during peak hours.",1
"Question: Is there a test at the end of the course according to the document? Answer: No, assessment is based on assignments.",2
"Question: Does the new model in the database have a larger battery? Answer: Yes, it boasts a 20% increase in battery life.",0
"Question: Is the software compatible with Mac OS according to the document? Answer: Yes, it's compatible with both Mac and Windows.",0
"Question: Does the festival include international films according to the database? Answer: Yes, films from over 20 countries are featured.",0
"Question: Is there a limit to the number of devices I can connect according to the document? Answer: Yes, up to five devices can be connected simultaneously.",0
"Question: Does the course require any prerequisites according to the document? Answer: Yes, basic knowledge of programming is required.",0
"Question: Is the online service available worldwide according to the document? Answer: No, it's restricted to users in North America.",2
"Question: Does the document specify the terms of use? Answer: Yes, detailed terms are outlined in section 5.",0
